symbol,korean_name,judgement,final_action,final_advice,final_score,price,change_24h,btc_regime,rs_vs_btc_24h,swing_structure,rsi14_240m,volume_ratio_240m,atr_pct_240m,trade_value_24h,ma_rising_240m,last_completed_240m,last_completed_60m,entry_status,entry_score,entry_distance_ma20_pct,entry_price,MA5_240m,MA20_240m,MA60_240m,MA120_240m,MA20_slope_pct_240m,MA60_slope_pct_240m,MA120_slope_pct_240m,MA20_60m,ATR14_60m,score_trend_4h,score_entry_1h,score_ma20_position,score_market_quality,score_penalty,score_penalty_overheat,score_penalty_below_ma20,score_penalty_daily_surge,atr,buy_zone_low,buy_zone_high,buy_reference,stop_price,risk_per_unit,risk_pct,take_profit_1,take_profit_2,runner_trigger_4r,breakeven_stop,trailing_stop_normal,trailing_stop_tight,trailing_stop_current,runner_mode,risk_budget,position_amount,position_quantity,actual_risk_amount,actual_risk_pct,position_capped
KRW-FF,팔콘파이낸스,우선관찰,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,98.0,210.0,3.43,Q1 Weak,4.917977281579711,HH/HL,78.08114146944702,0.9422947996760013,5.517941773865944,1956877693,True,2026-09-10 17:00:00,2026-09-10 20:00:00,진입 관심,6,2.966413336602125,210.0,205.6,187.2,158.25,141.19166666666666,3.7119113573407247,4.9983412584319264,8.590875879661075,203.95,4.214285714285714,30.0,40.0,20.0,8.0,0.0,0.0,0.0,0.0,4.214285714285714,201.84285714285713,206.05714285714285,206.05714285714285,197.62857142857143,8.428571428571416,4.090404880754293,218.7,227.12857142857138,239.77142857142852,206.05714285714285,206.05714285714285,206.05714285714285,206.05714285714285,기본 Trail(2ATR),500000.0,12223728.813559338,59322.03389830517,500000.0,0.5,False
KRW-PIEVERSE,파이버스,우선관찰,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,96.0,1781.0,1.24,Q1 Weak,2.7309486239628034,HH/HL,64.33296587410608,0.7833341862953973,5.606544293695133,2245656888,True,2026-09-10 17:00:00,2026-09-10 20:00:00,진입 관심,6,2.725306416726747,1781.0,1734.8,1697.1,1536.3833333333334,1473.15,2.6492469606242075,2.1859861879371723,2.947291182585321,1733.75,37.42857142857143,30.0,40.0,20.0,6.0,0.0,0.0,0.0,0.0,37.42857142857143,1715.0357142857142,1752.4642857142858,1752.4642857142858,1699.3357142857142,53.128571428571604,3.0316493101550974,1832.1571428571433,1885.2857142857147,1964.9785714285722,1752.4642857142858,1752.4642857142858,1752.4642857142858,1752.4642857142858,기본 Trail(2ATR),500000.0,16492672.761494974,9411.132024737803,500000.00000000006,0.5000000000000001,False
KRW-BTT,비트토렌트,우선관찰,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,88.8,0.000436,3.53,Q1 Weak,5.016016497265985,HH/LL,71.70100516311767,1.949346154734998,2.0779220779220755,1845571981,True,2026-09-10 17:00:00,2026-09-10 20:00:00,진입 관심,6,0.49556298259767484,0.000436,0.00043680000000000005,0.0004214,0.00041183333333333333,0.0004081666666666667,1.0672742535076107,0.8159934720522122,1.121043830129853,0.00043385000000000006,6.928571428571411e-06,20.8,40.0,20.0,8.0,0.0,0.0,0.0,0.0,6.928571428571411e-06,0.0004303857142857144,0.00043731428571428573,0.000436,0.0004221428571428572,1.3857142857142822e-05,3.178243774574042,0.00045678571428571426,0.0004706428571428571,0.0004914285714285713,0.000436,0.000436,0.000436,0.000436,기본 Trail(2ATR),500000.0,15731958.762886638,36082474226.804214,500000.0,0.5,False
KRW-KAVA,카바,눌림 기다리기,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,87.0,84.8,3.92,Q1 Weak,5.408173360011082,HH/LL,74.6711716014045,0.6731377651325096,2.1226415094339606,645265129,True,2026-09-10 17:00:00,2026-09-10 20:00:00,눌림 확인,5,1.000476417341578,84.8,84.32000000000001,80.82000000000001,72.125,67.585,2.368587713742887,2.8080678497612643,3.78531941031941,83.96000000000001,1.1571428571428564,30.0,30.0,20.0,7.0,0.0,0.0,0.0,0.0,1.1571428571428564,83.38142857142859,84.53857142857143,84.53857142857143,82.22428571428571,2.3142857142857167,2.7375500616793715,88.01,90.32428571428572,93.7957142857143,84.53857142857143,84.53857142857143,84.53857142857143,84.53857142857143,기본 Trail(2ATR),500000.0,18264506.172839485,216049.38271604912,499999.99999999994,0.49999999999999994,False
KRW-ORDER,오덜리,우선관찰,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,85.9,49.7,5.2,Q1 Weak,6.684109930065285,HH/HL,62.864495222424154,3.812320019480589,5.124223602484469,6175111754,True,2026-09-10 17:00:00,2026-09-10 20:00:00,진입 관심,6,1.917358761406751,49.7,49.17999999999999,47.905,47.04333333333333,45.968333333333334,0.9589041095890316,0.31274433150898506,1.6155475729943802,48.765,2.221428571428571,16.9,40.0,20.0,9.0,0.0,0.0,0.0,0.0,2.221428571428571,47.65428571428571,49.87571428571429,49.7,47.09892857142857,2.60107142857143,5.233544121874104,53.60160714285715,56.20267857142858,60.10428571428572,49.7,49.7,49.7,49.7,기본 Trail(2ATR),500000.0,9553755.320609633,192228.47727584772,499999.9999999999,0.49999999999999994,False
KRW-RAY,레이디움,눌림 기다리기,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,85.3,1807.0,3.15,Q1 Weak,4.632672148290428,HH/HL,62.26270664883587,0.7476107424512553,8.706816059757235,30170796206,True,2026-09-10 17:00:00,2026-09-10 20:00:00,눌림 확인,5,1.8515909026857846,1807.0,1781.0,1665.9,1369.25,1223.3916666666667,1.0524400230505604,5.385019946893799,6.900895652807093,1774.15,78.21428571428571,25.3,30.0,20.0,10.0,0.0,0.0,0.0,0.0,78.21428571428571,1735.0428571428572,1813.257142857143,1807.0,1650.5714285714287,156.42857142857133,8.65681081508419,2041.6428571428569,2198.0714285714284,2432.7142857142853,1807.0,1807.0,1807.0,1807.0,기본 Trail(2ATR),500000.0,5775799.086757994,3196.347031963472,499999.99999999994,0.49999999999999994,False
KRW-CPOOL,클리어풀,우선관찰,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,84.6,29.8,2.05,Q1 Weak,3.5413992531080463,HH/LL,59.52275855199033,1.4367389013664416,3.355704697986578,1231678697,True,2026-09-10 17:00:00,2026-09-10 20:00:00,진입 관심,6,1.75857947754825,29.8,29.419999999999998,28.855,27.8,27.475833333333338,1.121429823024367,0.44562206431411067,1.7246698753548229,29.284999999999997,0.9571428571428571,18.6,40.0,20.0,6.0,0.0,0.0,0.0,0.0,0.9571428571428571,28.80642857142857,29.763571428571424,29.763571428571424,28.567142857142855,1.1964285714285694,4.019774892606008,31.55821428571428,32.75464285714285,34.5492857142857,29.763571428571424,29.763571428571424,29.763571428571424,29.763571428571424,기본 Trail(2ATR),500000.0,12438507.462686585,417910.4477611947,500000.0,0.5,False
KRW-VET,비체인,눌림 기다리기,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,84.0,10.7,3.85,Q1 Weak,5.332758578713948,HH/HL,63.34274934628469,1.2316884071994507,4.252645502645504,2738928436,True,2026-09-10 17:00:00,2026-09-10 20:00:00,눌림 확인,5,1.5662078785002365,10.7,10.62,10.34,9.646333333333333,9.143416666666667,1.7666453422567674,1.0704618877150018,4.250952521212015,10.535,0.27857142857142897,26.0,30.0,20.0,8.0,0.0,0.0,0.0,0.0,0.27857142857142897,10.395714285714286,10.674285714285714,10.674285714285714,10.326071428571428,0.3482142857142865,3.2621788008565384,11.196607142857143,11.544821428571431,12.06714285714286,10.674285714285714,10.674285714285714,10.674285714285714,10.674285714285714,기본 Trail(2ATR),500000.0,15327179.487179454,1435897.4358974327,500000.0,0.5,False
KRW-PROS,파로스,눌림 기다리기,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,79.5,667.0,5.3,Q1 Weak,6.790816901046826,HH/LL,62.2671862074498,2.870238604094108,7.28042328042328,10877501575,True,2026-09-10 17:00:00,2026-09-10 20:00:00,눌림 대기,4,6.626168971305257,667.0,631.6,614.3,582.05,579.4083333333333,1.2777182425191658,0.7646142304806869,1.286309471782765,625.55,26.785714285714285,21.5,40.0,8.0,10.0,0.0,0.0,0.0,0.0,26.785714285714285,612.1571428571428,638.9428571428571,638.9428571428571,601.4904761904762,37.45238095238085,5.861616658468586,695.1214285714284,732.5738095238091,788.7523809523805,638.9428571428571,638.9428571428571,638.9428571428571,638.9428571428571,기본 Trail(2ATR),500000.0,8530069.930069953,13350.286077558843,500000.00000000006,0.5000000000000001,False
KRW-CKB,너보스,눌림 기다리기,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,77.7,1.57,1.94,Q1 Weak,3.4220886035278286,HH/LL,59.09921211085538,2.266232836171213,3.254972875226039,3600964677,True,2026-09-10 17:00:00,2026-09-10 20:00:00,눌림 확인,5,0.15948963317384823,1.57,1.574,1.5465000000000002,1.4733333333333334,1.4263333333333332,0.6835937500000222,1.0863350485992074,2.3929169657812777,1.5675000000000001,0.05714285714285711,20.7,30.0,20.0,7.0,0.0,0.0,0.0,0.0,0.05714285714285711,1.5389285714285716,1.5960714285714286,1.57,1.512857142857143,0.05714285714285716,3.639672429481348,1.6557142857142857,1.712857142857143,1.7985714285714287,1.57,1.57,1.57,1.57,기본 Trail(2ATR),500000.0,13737499.999999994,8749999.999999996,499999.99999999994,0.49999999999999994,False
