Date,Open,High,Low,Close,Volume,Change
2024-12-23,5880,6370,5860,6230,293328,0.0488215488215488
2024-12-24,6230,6910,6080,6800,897945,0.0914927768860354
2024-12-26,6730,7100,6590,7100,327425,0.0441176470588235
2024-12-27,6680,7140,5700,6050,820181,-0.147887323943662
2024-12-30,5990,6990,5860,6040,634559,-0.0016528925619834
2025-01-02,6110,6140,5310,5560,339496,-0.0794701986754966
2025-01-03,5510,5510,4600,4665,1406578,-0.1609712230215827
2025-01-06,4700,4840,4600,4670,565714,0.0010718113612004
2025-01-07,4650,4680,4475,4635,374790,-0.0074946466809421
2025-01-08,4595,4670,4475,4615,363897,-0.0043149946062567
2025-01-09,4620,4750,4505,4715,326818,0.0216684723726976
2025-01-10,4785,4935,4645,4890,299458,0.0371155885471898
2025-01-13,4895,4970,4815,4960,174201,0.0143149284253578
2025-01-14,4995,5020,4635,4905,328642,-0.0110887096774193
2025-01-15,4905,4930,4690,4895,229269,-0.00203873598369
2025-01-16,4925,5050,4805,4995,152019,0.0204290091930541
2025-01-17,5000,5160,4945,5120,172410,0.025025025025025
2025-01-20,4940,5200,4740,5200,212950,0.015625
2025-01-21,5200,5280,5100,5280,99754,0.0153846153846153
2025-01-22,5290,5340,5100,5290,131700,0.0018939393939394
2025-01-23,5290,5420,5210,5390,108846,0.0189035916824196
2025-01-24,5400,5450,5260,5420,72426,0.0055658627087198
2025-01-31,5420,5460,5260,5360,77824,-0.0110701107011069
2025-02-03,5290,5480,5130,5400,150812,0.007462686567164
2025-02-04,5380,5460,4625,4885,539491,-0.0953703703703703
2025-02-05,4895,5500,4370,4540,2770367,-0.0706243602865915
2025-02-06,4515,4900,4500,4885,372705,0.0759911894273128
2025-02-07,4885,5140,4825,5020,218278,0.0276356192425792
2025-02-10,5030,5100,4910,5030,200329,0.0019920318725099
2025-02-11,5080,5110,4965,5110,73341,0.0159045725646123
2025-02-12,5050,5170,5010,5120,100201,0.0019569471624265
2025-02-13,5200,5200,4900,5110,134583,-0.001953125
2025-02-14,5100,5120,4900,5100,74930,-0.0019569471624266
2025-02-17,5110,5110,4945,5060,88014,-0.0078431372549019
2025-02-18,5030,5100,4940,5090,102234,0.0059288537549406
2025-02-19,5100,5240,4965,5210,162106,0.0235756385068761
2025-02-20,5210,5330,5130,5280,94381,0.0134357005758156
