Date,Open,High,Low,Close,Volume,Change
2024-12-23,8030,8040,8000,8030,1245,-0.00248447204968949
2024-12-24,8020,8030,7640,7640,1663,-0.04856787048567868
2024-12-26,7770,7800,7600,7710,1404,0.009162303664921545
2024-12-27,7710,7760,7350,7740,2775,0.0038910505836575737
2024-12-30,7730,7730,7540,7720,1330,-0.0025839793281653423
2025-01-02,7740,8060,7720,7990,974,0.03497409326424861
2025-01-03,7980,8290,7970,8160,4035,0.02127659574468077
2025-01-06,8230,8300,8080,8190,2344,0.003676470588235281
2025-01-07,8270,8460,8120,8370,3699,0.0219780219780219
2025-01-08,8410,8570,8100,8280,558,-0.010752688172043001
2025-01-09,8270,8320,8070,8190,1108,-0.010869565217391353
2025-01-10,8190,8290,8070,8260,394,0.008547008547008517
2025-01-13,8240,8270,8060,8200,1325,-0.007263922518159771
2025-01-14,8200,8290,8010,8290,589,0.01097560975609757
2025-01-15,8290,8290,8150,8180,97,-0.013268998793727338
2025-01-16,8180,8440,8180,8300,802,0.014669926650366705
2025-01-17,8300,8410,8190,8400,217,0.012048192771084265
2025-01-20,8400,8840,8400,8620,2944,0.026190476190476097
2025-01-21,8670,8670,8360,8570,1488,-0.0058004640371229765
2025-01-22,8570,8720,8200,8200,4024,-0.043173862310385114
2025-01-23,8200,8500,8020,8500,705,0.03658536585365857
2025-01-24,8340,8510,8310,8380,562,-0.014117647058823568
2025-01-31,8370,8370,7960,7960,2340,-0.05011933174224348
2025-02-03,7950,7950,7610,7920,1572,-0.005025125628140725
2025-02-04,7920,8090,7860,8060,1436,0.017676767676767735
2025-02-05,8040,8040,7780,7780,1364,-0.0347394540942928
2025-02-06,7780,7860,7730,7820,1980,0.005141388174807249
2025-02-07,7850,8000,7690,7990,803,0.021739130434782705
2025-02-10,7940,8000,7830,8000,190,0.0012515644555695093
2025-02-11,8000,8000,7800,7880,2363,-0.015000000000000013
2025-02-12,7870,7890,7680,7800,457,-0.010152284263959421
2025-02-13,7800,7990,7610,7770,1436,-0.0038461538461538325
2025-02-14,7640,7800,7640,7710,2887,-0.007722007722007707
2025-02-17,7710,7770,7650,7710,1752,0.0
2025-02-18,7740,7750,7640,7680,1530,-0.0038910505836575737
2025-02-19,7740,7940,7680,7730,5068,0.006510416666666741
2025-02-20,7780,8050,7780,7850,2707,0.015523932729624823
2025-02-21,7850,7990,7790,7850,1962,0.0
2025-02-24,7850,7850,7600,7850,924,0.0
2025-02-25,7770,7850,7710,7710,864,-0.017834394904458595
2025-02-26,7710,7850,7710,7800,988,0.011673151750972721
2025-02-27,7920,8120,7810,7940,3359,0.017948717948717885
2025-02-28,7930,7990,7730,7930,1883,-0.0012594458438287548
2025-03-04,7930,7930,7620,7690,1589,-0.030264817150063017
2025-03-05,7690,7990,7680,7790,506,0.013003901170351106
2025-03-06,7810,7960,7730,7820,1205,0.0038510911424902705
2025-03-07,7840,7890,7730,7810,1101,-0.0012787723785165905
2025-03-10,7780,7790,7740,7770,1551,-0.005121638924455829
2025-03-11,7730,7730,7580,7670,605,-0.012870012870012881
2025-03-12,7670,7720,7600,7680,843,0.0013037809647979959
2025-03-13,7680,7740,7640,7690,191,0.0013020833333332593
2025-03-14,7720,7720,7640,7690,413,0.0
2025-03-17,7720,7750,7640,7690,1689,0.0
2025-03-18,7720,7720,7680,7690,90,0.0
2025-03-19,7610,7690,7580,7680,735,-0.0013003901170350884
2025-03-20,7500,7650,7500,7630,858,-0.00651041666666663
2025-03-21,7660,7680,7600,7670,255,0.005242463958060384
2025-03-24,7670,7670,7450,7650,566,-0.0026075619295958807
2025-03-25,7650,7690,7550,7650,1435,0.0
2025-03-26,7650,7660,7550,7650,102,0.0
2025-03-27,7640,7640,7530,7530,345,-0.015686274509803977
2025-03-28,7530,7530,7130,7130,6280,-0.05312084993359889
2025-03-31,7130,7250,7050,7050,2868,-0.011220196353436185
2025-04-01,7180,7200,6900,7130,2220,0.01134751773049647
2025-04-02,7000,7400,7000,7080,567,-0.007012622720897643
2025-04-03,7030,7040,6900,7010,664,-0.009887005649717562
2025-04-04,7020,7450,6720,7450,4392,0.06276747503566327
2025-04-07,7450,7450,7000,7000,861,-0.06040268456375841
2025-04-08,7140,7300,7070,7250,1926,0.03571428571428581
2025-04-09,7170,7260,7060,7260,448,0.0013793103448276334
2025-04-10,7460,7660,7260,7500,2132,0.03305785123966931
2025-04-11,7500,7600,7250,7600,2863,0.01333333333333342
2025-04-14,7600,7600,7490,7580,681,-0.0026315789473684292
2025-04-15,7620,7680,7490,7650,195,0.00923482849604218
2025-04-16,7650,7870,7530,7660,3523,0.0013071895424836555
2025-04-17,7660,7660,7590,7640,349,-0.0026109660574412663
2025-04-18,7680,7900,7590,7650,1420,0.0013089005235602524
2025-04-21,7660,7940,7570,7600,836,-0.006535947712418277
2025-04-22,7630,7640,7570,7570,341,-0.003947368421052588
2025-04-23,7640,8800,7640,7860,109566,0.03830911492734468
2025-04-24,7860,8030,7650,8000,4738,0.01781170483460559
2025-04-25,8030,8140,7800,8000,9360,0.0
2025-04-28,8010,8010,7410,7870,2846,-0.016249999999999987
2025-04-29,7840,7970,7720,7840,1603,-0.003811944091486663
2025-04-30,7770,7780,7530,7690,3914,-0.01913265306122447
2025-05-02,7680,7800,7410,7740,1993,0.006501950585175553
2025-05-07,7780,7880,7780,7850,2347,0.01421188630490966
2025-05-08,7930,7950,7610,7920,2287,0.008917197452229297
2025-05-09,7920,8030,7760,7900,1230,-0.002525252525252486
2025-05-12,7920,8000,7710,8000,3308,0.012658227848101333
2025-05-13,8110,8110,7810,7920,1665,-0.010000000000000009
2025-05-14,8000,8300,8000,8270,10367,0.044191919191919116
2025-05-15,8350,8500,7930,8050,2853,-0.026602176541717037
2025-05-16,8300,8440,8140,8360,9728,0.03850931677018643
2025-05-19,8390,8580,8010,8110,10493,-0.029904306220095656
2025-05-20,8200,8400,7900,8380,6163,0.03329223181257701
2025-05-21,8410,8450,7990,8350,9810,-0.0035799522673031214
2025-05-22,8100,8330,7900,8070,2173,-0.033532934131736525
