Date,Open,High,Low,Close,Volume,Change
2024-12-23,1932,1956,1908,1955,15536,0.01242879337131031
2024-12-24,1952,1963,1936,1940,15062,-0.007672634271099765
2024-12-26,1941,1958,1910,1912,14743,-0.014432989690721598
2024-12-27,1912,1922,1874,1896,17990,-0.008368200836820106
2024-12-30,1915,1919,1887,1917,8848,0.011075949367088667
2025-01-02,1901,1919,1900,1917,5527,0.0
2025-01-03,1917,2155,1875,2005,147562,0.045905059989566954
2025-01-06,1993,2040,1992,2035,25079,0.014962593516209433
2025-01-07,2015,2045,2010,2025,24496,-0.004914004914004955
2025-01-08,2025,2050,2010,2035,14440,0.004938271604938205
2025-01-09,2035,2035,1999,2010,9550,-0.012285012285012331
2025-01-10,2030,2030,1994,2000,9159,-0.00497512437810943
2025-01-13,1988,2010,1988,1999,3216,-0.0004999999999999449
2025-01-14,2000,2025,1995,2020,8855,0.010505252626313188
2025-01-15,2020,2025,1997,2015,4518,-0.0024752475247524774
2025-01-16,2020,2070,2000,2035,20784,0.00992555831265518
2025-01-17,2035,2125,2005,2030,68095,-0.002457002457002422
2025-01-20,2070,2590,2065,2325,3275277,0.14532019704433496
2025-01-21,2300,2450,2210,2260,345805,-0.027956989247311825
2025-01-22,2235,2320,2225,2300,151095,0.017699115044247815
2025-01-23,2260,2690,2250,2475,1335007,0.07608695652173902
2025-01-24,2400,2425,2310,2335,280913,-0.0565656565656566
2025-01-31,2335,2360,2250,2275,153317,-0.025695931477516032
2025-02-03,2240,2260,2060,2095,181364,-0.07912087912087917
2025-02-04,2115,2130,2055,2070,58575,-0.011933174224343701
2025-02-05,2070,2155,2065,2130,35426,0.02898550724637672
2025-02-06,2135,2170,2085,2110,35154,-0.009389671361502372
2025-02-07,2130,2130,2070,2085,22166,-0.011848341232227444
2025-02-10,2095,2110,2030,2100,88917,0.007194244604316502
2025-02-11,2105,2105,2070,2100,14012,0.0
2025-02-12,2100,2115,2045,2060,41096,-0.01904761904761909
2025-02-13,2050,2080,2050,2065,23076,0.0024271844660195274
2025-02-14,2065,2090,2050,2075,17149,0.004842615012106588
2025-02-17,2080,2355,2060,2165,439316,0.04337349397590362
2025-02-18,2165,2180,2115,2160,45542,-0.002309468822170868
2025-02-19,2150,2235,2150,2235,84119,0.03472222222222232
2025-02-20,2230,2240,2175,2190,52764,-0.020134228187919434
2025-02-21,2200,2215,2155,2165,66357,-0.011415525114155223
2025-02-24,2150,2180,2060,2140,172097,-0.011547344110854452
2025-02-25,2135,2140,2095,2100,50897,-0.01869158878504673
2025-02-26,2080,2130,2080,2130,38471,0.014285714285714235
2025-02-27,2130,2130,2055,2060,51827,-0.032863849765258246
2025-02-28,2050,2055,1982,2035,65067,-0.012135922330097082
2025-03-04,1981,2010,1977,1995,32838,-0.019656019656019708
2025-03-05,1994,2025,1986,2000,16791,0.0025062656641603454
2025-03-06,2005,2030,1994,1999,18491,-0.0004999999999999449
2025-03-07,1995,2020,1983,2000,22238,0.0005002501250626068
2025-03-10,2005,2005,1974,2000,8207,0.0
2025-03-11,1990,1990,1904,1979,26794,-0.010499999999999954
2025-03-12,1975,1979,1940,1967,20152,-0.006063668519454279
2025-03-13,1971,1978,1941,1964,30358,-0.0015251652262328053
2025-03-14,1969,1974,1956,1972,3301,0.004073319755600879
2025-03-17,1972,1974,1955,1966,19566,-0.0030425963488843744
2025-03-18,1970,2000,1965,1987,16207,0.010681586978636748
2025-03-19,1990,2000,1972,1997,12593,0.0050327126321088045
2025-03-20,1991,1998,1970,1978,16913,-0.009514271407110697
