Date,Open,High,Low,Close,Volume,Change
2025-07-10,4750,4960,4482,4520,8779479,
2025-07-11,4495,4550,4355,4515,1260801,-0.0011061946902655
2025-07-14,4500,4515,4430,4465,482123,-0.0110741971207087
2025-07-15,4445,4570,4435,4565,502721,0.0223964165733483
2025-07-16,4565,4570,4490,4530,172186,-0.0076670317634173
2025-07-17,4510,4540,4495,4530,152308,0.0
2025-07-18,4530,4560,4490,4505,171813,-0.0055187637969095
2025-07-21,4505,4505,4465,4470,92603,-0.0077691453940066
2025-07-22,4480,4480,4420,4445,190979,-0.0055928411633109
2025-07-23,4445,4470,4430,4465,57822,0.0044994375703037
2025-07-24,4460,4480,4455,4465,81454,0.0
2025-07-25,4465,4490,4445,4485,76674,0.0044792833146696
2025-07-28,4470,4475,4445,4450,65950,-0.007803790412486
2025-07-29,4450,4450,4410,4415,78707,-0.0078651685393258
2025-07-30,4410,4440,4405,4420,58470,0.0011325028312569
2025-07-31,4420,4430,4405,4410,43759,-0.002262443438914
2025-08-01,4410,4425,4350,4350,59040,-0.0136054421768707
2025-08-04,4350,4370,4345,4350,52899,0.0
2025-08-05,4350,4385,4340,4360,70714,0.0022988505747125
2025-08-06,4360,4375,4345,4350,33331,-0.0022935779816514
2025-08-07,4350,4367,4330,4340,57063,-0.0022988505747126
2025-08-08,4330,4415,4325,4395,71158,0.0126728110599079
2025-08-11,4420,4485,4405,4445,151541,0.0113765642775882
2025-08-12,4450,4580,4435,4540,294171,0.0213723284589426
2025-08-13,4520,4645,4485,4645,301930,0.0231277533039646
2025-08-14,4620,4860,4595,4690,1971656,0.0096878363832078
2025-08-18,4670,4670,4430,4480,497829,-0.044776119402985
2025-08-19,4520,4520,4430,4470,1287577,-0.0022321428571429
2025-08-20,4470,4470,4340,4350,286872,-0.0268456375838925
2025-08-21,4370,4390,4350,4380,29887,0.0068965517241379
2025-08-22,4385,4420,4360,4400,436450,0.004566210045662
2025-08-25,4400,4425,4380,4415,529529,0.0034090909090909
2025-08-26,4400,4400,4340,4340,373033,-0.0169875424688561
2025-08-27,4350,4355,4315,4340,134287,0.0
2025-08-28,4305,4340,4300,4340,58225,0.0
2025-08-29,4345,4350,4325,4350,55515,0.0023041474654377
2025-09-01,4350,4350,4325,4330,39818,-0.0045977011494252
2025-09-02,4320,4350,4315,4320,53154,-0.0023094688221708
2025-09-03,4320,4340,4295,4335,75653,0.0034722222222223
2025-09-04,4330,4330,4295,4300,74042,-0.0080738177623991
2025-09-05,4300,4300,4275,4280,89011,-0.0046511627906976
2025-09-08,4280,4300,4255,4275,395751,-0.0011682242990653
2025-09-09,4295,4350,4275,4350,50422,0.0175438596491228
2025-09-10,4320,4355,4310,4310,49634,-0.0091954022988506
2025-09-11,4340,4350,4310,4315,69719,0.0011600928074246
2025-09-12,4385,4385,4300,4330,57517,0.0034762456546928
2025-09-15,4330,4375,4320,4375,61492,0.010392609699769
2025-09-16,4375,4385,4355,4365,52441,-0.0022857142857143
2025-09-17,4360,4365,4340,4350,50162,-0.0034364261168384
2025-09-18,4350,4395,4335,4355,62125,0.0011494252873562
