Date,Open,High,Low,Close,Volume,Change
2025-01-08,13940,13940,13720,13830,11377,-0.0036023054755043
2025-01-09,13910,13930,13740,13760,4276,-0.0050614605929139
2025-01-10,13790,13980,13780,13980,7392,0.0159883720930231
2025-01-13,13990,14290,13840,13840,9741,-0.0100143061516452
2025-01-14,13970,14410,13940,13990,25350,0.0108381502890173
2025-01-15,14290,14340,14000,14150,11501,0.0114367405289492
2025-01-16,14150,14300,14080,14240,11471,0.0063604240282686
2025-01-17,14100,14240,14060,14160,4703,-0.0056179775280899
2025-01-20,14150,14150,13960,13960,7110,-0.0141242937853107
2025-01-21,13950,14410,13950,14360,22733,0.0286532951289397
2025-01-22,14300,14370,14040,14110,8595,-0.017409470752089
2025-01-23,14110,14160,13970,14020,4440,-0.0063784549964563
2025-01-24,14030,14130,13970,14000,2908,-0.0014265335235378
2025-01-31,14200,14200,13880,14090,4355,0.0064285714285714
2025-02-03,14090,14150,13710,13860,15796,-0.0163236337828247
2025-02-04,13860,13950,13740,13920,8846,0.0043290043290042
2025-02-05,13920,14000,13710,13750,10994,-0.0122126436781608
2025-02-06,13850,13850,13620,13730,11474,-0.0014545454545454
2025-02-07,13650,13770,13630,13730,5552,0.0
2025-02-10,13900,13900,13650,13740,11745,0.0007283321194464
2025-02-11,13800,13800,13630,13750,5169,0.0007278020378456
2025-02-12,13750,13790,13700,13700,4442,-0.0036363636363636
2025-02-13,13700,13790,13690,13740,2457,0.0029197080291971
2025-02-14,13800,13930,13790,13830,4101,0.0065502183406114
2025-02-17,13800,13950,13780,13940,3931,0.0079537237888647
2025-02-18,13940,13980,13820,13880,4234,-0.0043041606886656
2025-02-19,13900,14000,13850,13910,7255,0.0021613832853026
2025-02-20,13870,13970,13860,13900,4186,-0.0007189072609633
2025-02-21,13950,13960,13850,13860,3139,-0.0028776978417266
2025-02-24,13860,14100,13850,14100,6163,0.0173160173160173
2025-02-25,14100,14400,14050,14250,34829,0.0106382978723404
2025-02-26,14250,14390,14210,14230,18082,-0.0014035087719298
2025-02-27,14220,14320,14000,14000,19671,-0.016163035839775
2025-02-28,14020,14120,13960,14090,7658,0.0064285714285714
2025-03-04,14090,14130,13980,14010,6270,-0.0056777856635912
2025-03-05,13960,14130,13960,14070,9225,0.0042826552462527
2025-03-06,14070,14120,13980,13980,5247,-0.0063965884861407
2025-03-07,14000,14100,13890,13930,12630,-0.0035765379113018
2025-03-10,14050,14170,13930,14110,13847,0.0129217516152189
2025-03-11,14020,14020,13760,13900,28943,-0.0148830616583982
2025-03-12,13970,13970,13860,13900,4604,0.0
2025-03-13,13900,14170,13900,14040,3280,0.0100719424460431
2025-03-14,14090,14150,13980,14120,5413,0.0056980056980056
2025-03-17,14120,14180,14010,14060,5310,-0.0042492917847025
2025-03-18,14050,14210,14010,14080,8927,0.0014224751066855
2025-03-19,14080,14230,14020,14130,10075,0.0035511363636364
2025-03-20,14090,14190,14040,14060,12838,-0.0049539985845717
2025-03-21,14050,14120,13950,14000,7007,-0.0042674253200568
