Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2025-01-06,2488.64,1,46.72,0.0191,2453.3,2489.1,2446.82,302760981,8142307849602,2036394312458755.2
2025-01-07,2492.1,1,3.46,0.0014,2513.49,2521.86,2492.09,407692929,9405964049041,2038522932687508.0
2025-01-08,2521.05,1,28.95,0.0116,2481.25,2526.77,2481.25,362908922,10391057773317,2062626681696110.0
2025-01-09,2521.9,1,0.85,0.0003,2526.1,2535.87,2515.82,404290371,11524453907612,2063837692886240.0
2025-01-10,2515.78,2,-6.12,-0.0024,2528.42,2535.24,2506.29,377586658,9691007647524,2058638841592924.0
2025-01-13,2489.56,2,-26.22,-0.0104,2508.15,2513.93,2483.73,578565446,9049053425756,2036397074805700.0
2025-01-14,2497.4,1,7.84,0.0031,2501.49,2504.89,2482.74,414487640,8199244671041,2042488521677972.0
2025-01-15,2496.81,2,-0.59,-0.0002,2511.07,2524.36,2493.1,538534310,9176243659173,2041769170734816.0
2025-01-16,2527.49,1,30.68,0.0123,2528.27,2534.01,2519.86,451062578,9432261340912,2065809157709104.0
2025-01-17,2523.55,2,-3.94,-0.0016,2520.85,2528.48,2513.84,445884915,10011839897387,2062320503702578.0
2025-01-20,2520.05,2,-3.5,-0.0014,2533.68,2536.72,2516.28,437546001,8663518721587,2059663885223968.0
2025-01-21,2518.03,2,-2.02,-0.0008,2533.23,2548.44,2507.95,572011300,9323573978039,2058259490075974.0
2025-01-22,2547.06,1,29.03,0.0115,2535.8,2552.57,2526.89,583737394,11074514904158,2081713985266172.8
2025-01-23,2515.49,2,-31.57,-0.0124,2541.24,2541.6,2515.49,609742131,9907820760947,2056088891657315.2
2025-01-24,2536.8,1,21.31,0.0085,2529.29,2542.83,2522.64,602014660,10179284029760,2073049460254918.0
2025-01-31,2517.37,2,-19.43,-0.0077,2534.33,2537.98,2496.95,454403356,13759431159982,2057132279189022.0
2025-02-03,2453.95,2,-63.42,-0.0252,2468.74,2468.74,2437.61,522848036,11649962821524,2005228762346524.8
2025-02-04,2481.69,1,27.74,0.0113,2481.44,2508.35,2471.63,479377343,11000937680837,2028588344752300.0
2025-02-05,2509.27,1,27.58,0.0111,2503.94,2514.71,2498.74,437344153,9949594557748,2056473640972619.2
2025-02-06,2536.75,1,27.48,0.011,2521.82,2536.75,2515.34,479697230,11863047995673,2078576667689643.2
2025-02-07,2521.92,2,-14.83,-0.0058,2532.09,2537.63,2519.01,419872051,10240140504999,2066649815662131.2
2025-02-10,2521.27,2,-0.65,-0.0003,2510.64,2527.33,2499.18,393563727,10582465784194,2067049975510715.2
2025-02-11,2539.05,1,17.78,0.0070999999999999,2532.87,2549.44,2527.74,451092989,11023156462010,2081311465922200.0
2025-02-12,2548.39,1,9.34,0.0037,2534.71,2549.58,2528.74,464894178,13668983788526,2088883959979358.0
2025-02-13,2583.17,1,34.78,0.0136,2558.95,2583.74,2555.98,680341736,17104156094956,2116865565381814.0
2025-02-14,2591.05,1,7.88,0.0031,2588.2,2600.57,2582.84,499364641,13917625961701,2123295637182044.0
2025-02-17,2610.42,1,19.37,0.0075,2595.99,2612.8,2592.57,366339998,11017333473620,2138576064568082.0
2025-02-18,2626.81,1,16.39,0.0063,2613.25,2628.47,2605.15,421993118,12618242477587,2152414939585228.8
2025-02-19,2671.52,1,44.71,0.017,2633.91,2680.7,2633.91,525798791,14851621874895,2190321476628339.2
2025-02-20,2654.06,2,-17.46,-0.0065,2661.72,2667.59,2645.53,529303324,14551190986281,2176898820918304.0
2025-02-21,2654.58,1,0.52,0.0002,2653.76,2656.04,2638.44,444704240,11381060470064,2176175331210928.0
2025-02-24,2645.27,2,-9.31,-0.0034999999999999,2636.12,2645.27,2626.88,536354114,10802085081805,2167788263381008.8
2025-02-25,2630.29,2,-14.98,-0.0056999999999999,2617.64,2641.49,2617.12,410284831,10508475591510,2155255658945223.2
2025-02-26,2641.09,1,10.8,0.0040999999999999,2629.86,2648.06,2620.16,386762622,11218719900855,2163540431082131.2
2025-02-27,2621.75,2,-19.34,-0.0073,2637.63,2638.47,2610.47,513909805,10802121046832,2147708334692199.2
2025-02-28,2532.78,2,-88.97,-0.0339,2585.61,2586.78,2531.24,588571521,15637224696362,2074378682303204.8
2025-03-04,2528.92,2,-3.86,-0.0015,2522.2,2548.78,2513.31,484081351,13115384134880,2071277908689396.8
2025-03-05,2558.13,1,29.21,0.0116,2548.45,2561.47,2535.18,569412248,13021641663686,2094580712219600.0
2025-03-06,2576.16,1,18.03,0.0069999999999999,2573.55,2583.65,2565.57,609615704,11319665264837,2105642393608408.8
2025-03-07,2563.48,2,-12.68,-0.0049,2553.44,2575.48,2541.49,567191412,12155164964202,2095892197484635.2
2025-03-10,2570.39,1,6.91,0.0027,2555.4,2579.76,2549.99,435694828,9881353741270,2101439969373815.2
2025-03-11,2537.6,2,-32.79,-0.0128,2516.69,2547.88,2505.91,399016248,10917540670799,2074862207732268.0
2025-03-12,2574.82,1,37.22,0.0147,2552.6,2579.69,2541.66,401644557,12284769101722,2105091420669291.2
2025-03-13,2573.64,2,-1.18,-0.0005,2598.06,2600.07,2561.02,427292042,13112911085717,2103969035866234.0
2025-03-14,2566.36,2,-7.28,-0.0028,2565.18,2576.74,2559.24,362329393,9941799575184,2100287748455670.0
2025-03-17,2610.69,1,44.33,0.0173,2588.32,2610.69,2587.52,396573940,11995073046698,2137307329817924.0
2025-03-18,2612.34,1,1.65,0.0006,2627.27,2638.56,2606.91,555526574,12034578631086,2138918441303968.8
2025-03-19,2628.62,1,16.28,0.0062,2613.48,2642.83,2613.48,653326938,11841495256564,2153080834445234.0
2025-03-20,2637.1,1,8.48,0.0032,2648.16,2650.72,2629.2,455019267,11989258245357,2160968151053248.0
2025-03-21,2643.13,1,6.03,0.0023,2633.9,2645.82,2617.78,497529180,14188127737060,2166240031337451.2
2025-03-24,2632.07,2,-11.06,-0.0042,2636.43,2648.82,2629.38,372431632,6924064394711,2156710253624274.0
2025-03-25,2615.81,2,-16.26,-0.0062,2653.04,2654.63,2612.74,439279423,8305059590006,2143539656810207.2
2025-03-26,2643.94,1,28.13,0.0108,2628.09,2649.15,2618.05,507916080,7655330119639,2166757904270967.2
2025-03-27,2607.15,2,-36.79,-0.0139,2620.28,2633.03,2603.41,403313562,7676249317680,2137689097655124.0
2025-03-28,2557.98,2,-49.17,-0.0189,2592.63,2592.63,2549.26,513561475,7150421589957,2097055968124136.0
2025-03-31,2481.12,2,-76.86,-0.03,2513.44,2514.22,2479.46,391592782,8236353358064,2033508107511968.0
2025-04-01,2521.39,1,40.27,0.0162,2511.24,2530.61,2494.43,453393641,6939450184454,2066091544186739.2
2025-04-02,2505.86,2,-15.53,-0.0062,2525.62,2532.15,2499.83,515599740,7316124788243,2053517297572435.2
2025-04-03,2486.7,2,-19.16,-0.0076,2437.43,2488.92,2437.43,480057159,8267470857840,2037334829405671.2
2025-04-04,2465.42,2,-21.28,-0.0086,2450.49,2506.71,2438.02,695074881,10742833732479,2019896586676231.2
2025-04-07,2328.2,2,-137.22,-0.0557,2359.25,2369.4,2327.01,619500714,10505492820465,1907591512851795.2
2025-04-08,2334.23,1,6.03,0.0026,2381.2,2381.31,2328.94,557018146,9122473931623,1912870141561464.8
2025-04-09,2293.7,2,-40.53,-0.0174,2329.99,2337.58,2284.72,699641582,9560332636518,1880172676575802.0
2025-04-10,2445.06,1,151.36,0.066,2395.13,2445.06,2391.39,670388052,11055426187398,2002786361478506.0
2025-04-11,2432.72,2,-12.34,-0.005,2400.74,2433.18,2394.25,369702818,7687103441531,1991847800076662.0
2025-04-14,2455.89,1,23.17,0.0095,2454.28,2465.56,2449.48,488618364,6687793560550,2011102252591424.0
2025-04-15,2477.41,1,21.52,0.0088,2464.51,2482.56,2461.23,560339502,6510808882534,2027996669924308.8
2025-04-16,2447.43,2,-29.98,-0.0121,2472.78,2475.83,2442.72,613173904,6725688052971,2004854313353399.2
2025-04-17,2470.41,1,22.98,0.0093999999999999,2451.7,2473.24,2447.4,601738661,6606299171146,2023188315630384.8
2025-04-18,2483.42,1,13.01,0.0053,2473.3,2486.37,2466.9,450985117,5649647492055,2033957406882575.2
2025-04-21,2488.42,1,5.0,0.002,2486.38,2498.84,2479.23,428977098,5239732779307,2038270654755274.0
2025-04-22,2486.64,2,-1.78,-0.0007,2481.18,2494.59,2476.14,416680149,6182470913439,2036867826267906.0
2025-04-23,2525.56,1,38.92,0.0157,2520.56,2526.72,2507.1,538116134,7764179609542,2068411537802202.0
2025-04-24,2522.33,2,-3.23,-0.0013,2525.34,2530.61,2507.21,327935351,7272322115520,2066148877318083.2
2025-04-25,2546.3,1,23.97,0.0095,2544.59,2553.33,2534.94,403527737,8760600168638,2085721220951884.8
2025-04-28,2548.86,1,2.56,0.001,2551.23,2558.69,2541.97,454102177,7803354897543,2087208356086974.0
2025-04-29,2565.42,1,16.56,0.0065,2550.25,2571.41,2542.25,547081468,9215174352275,2100881633409068.8
2025-04-30,2556.61,2,-8.81,-0.0034,2561.04,2570.83,2544.46,487488833,8435602446234,2094129065499498.0
2025-05-02,2559.79,1,3.18,0.0012,2556.52,2567.04,2540.57,585492284,8327449263431,2095822345518174.0
2025-05-07,2573.8,1,14.01,0.0055,2577.04,2581.85,2559.17,546755132,8935449197459,2106864657755092.8
2025-05-08,2579.48,1,5.68,0.0022,2581.27,2590.9,2575.78,471635814,10270131237563,2111359746379270.0
2025-05-09,2577.27,2,-2.21,-0.0009,2587.93,2589.58,2571.2,485550305,8034852607528,2110382907460644.0
2025-05-12,2607.33,1,30.06,0.0116999999999999,2593.94,2607.33,2585.6,409749435,8527539580051,2135960504101416.8
2025-05-13,2608.42,1,1.09,0.0004,2601.76,2620.64,2601.58,422459803,8746089121686,2139365845830776.0
2025-05-14,2640.57,1,32.15,0.0123,2625.36,2646.01,2619.15,390503815,8893191507759,2165384001366960.0
2025-05-15,2621.36,2,-19.21,-0.0073,2634.5,2643.83,2618.08,339578793,7254024641690,2150748687253872.8
2025-05-16,2626.87,1,5.51,0.0021,2630.64,2633.98,2619.1,359706542,8025031996677,2154435500387806.0
2025-05-19,2603.42,2,-23.45,-0.0089,2613.7,2619.43,2593.44,313296021,6752438008652,2134853767220355.2
2025-05-20,2601.8,2,-1.62,-0.0006,2622.68,2622.91,2598.1,456989355,7661430134210,2133507447170795.2
2025-05-21,2625.58,1,23.78,0.0091,2615.9,2633.41,2614.73,371527419,7441128800151,2151605513502848.0
2025-05-22,2593.67,2,-31.91,-0.0121999999999999,2614.66,2616.53,2588.09,358064259,8965468020130,2126011918881695.2
2025-05-23,2592.09,2,-1.58,-0.0006,2603.57,2604.14,2589.51,434024136,8659673623776,2124299597613703.2
2025-05-26,2644.4,1,52.31,0.0202,2598.45,2644.4,2595.96,380173138,8342809610327,2166285731881608.0
2025-05-27,2637.22,2,-7.18,-0.0027,2630.29,2642.63,2625.66,318285651,7908808324037,2160239944298804.0
2025-05-28,2670.15,1,32.93,0.0125,2648.86,2692.47,2643.5,405473857,11238813826664,2188074979266972.0
2025-05-29,2720.64,1,50.49,0.0189,2691.06,2720.64,2686.64,448340888,10895570257616,2229208577577636.0
2025-05-30,2697.67,2,-22.97,-0.0084,2713.24,2717.54,2689.87,525661026,14803606217765,2210646190920267.2
2025-06-02,2698.97,1,1.3,0.0005,2692.91,2719.87,2685.14,323603809,8062944006492,2211661469940351.2
2025-06-04,2770.84,1,71.87,0.0266,2737.92,2771.03,2734.02,489937474,12106350015702,2270569997770892.0
2025-06-05,2812.05,1,41.21,0.0149,2790.33,2831.11,2787.76,556013446,13293000248477,2302942060259452.0
2025-06-09,2855.77,1,43.72,0.0155,2841.56,2867.27,2841.39,537617180,14030330524110,2337790728639509.0
2025-06-10,2871.85,1,16.08,0.0056,2872.62,2885.67,2849.67,508184663,14289817957640,2350164580015300.0
2025-06-11,2907.04,1,35.19,0.0123,2887.32,2908.16,2879.92,393929540,12475002592550,2378921384948741.0
2025-06-12,2920.03,1,12.99,0.0045,2909.99,2934.31,2909.99,713705710,17344655814990,2389048717129180.0
2025-06-13,2894.62,2,-25.41,-0.0087,2930.57,2932.38,2877.07,931657602,17462763974297,2369323120142404.0
2025-06-16,2946.66,1,52.04,0.018,2903.5,2947.07,2886.13,726351750,14401114308029,2410638877644740.0
2025-06-17,2950.3,1,3.64,0.0012,2959.93,2998.62,2925.79,939594106,17915934818024,2414138075097102.0
2025-06-18,2972.19,1,21.89,0.0074,2933.63,2979.32,2933.63,576548034,14668323378767,2432540489952913.0
2025-06-19,2977.74,1,5.55,0.0019,2989.56,2996.04,2954.47,433310535,13786565754695,2436368787253298.0
2025-06-20,3021.84,1,44.1,0.0148,2986.52,3022.06,2972.37,484864681,17974844407806,2471814406598870.0
2025-06-23,3014.47,2,-7.37,-0.0024,2992.2,3019.81,2971.36,625650915,17879769854238,2465283335804106.0
2025-06-24,3103.64,1,89.17,0.0296,3061.14,3105.04,3061.14,579200567,19107339943731,2538235150827130.0
2025-06-25,3108.25,1,4.61,0.0015,3127.79,3129.09,3084.86,644761399,19662628183278,2543092930441839.0
2025-06-26,3079.56,2,-28.69,-0.0092,3108.34,3113.03,3036.55,460611798,17030574191361,2519593951599544.0
2025-06-27,3055.94,2,-23.62,-0.0077,3077.87,3093.56,3041.85,381633939,13970283384996,2500663765269373.0
2025-06-30,3071.7,1,15.76,0.0052,3072.75,3086.0,3063.42,464162919,13333814294163,2512091649124343.0
2025-07-01,3089.65,1,17.95,0.0058,3089.64,3133.52,3088.45,576016844,15184804010768,2527488234089640.0
2025-07-02,3075.06,2,-14.59,-0.0046999999999999,3083.82,3090.61,3032.47,696798456,14829869598196,2516192194451781.0
2025-07-03,3116.27,1,41.21,0.0134,3100.33,3116.27,3085.98,539120202,14883213548329,2551106276337041.0
2025-07-04,3054.28,2,-61.99,-0.0199,3122.28,3123.84,3052.91,520763440,13571164280163,2501091815119605.0
2025-07-07,3059.47,1,5.19,0.0017,3044.78,3068.43,3032.99,359404588,10204542570975,2504046206230287.0
2025-07-08,3114.95,1,55.48,0.0181,3071.74,3115.86,3066.03,745793067,13491404979089,2548966093022255.0
2025-07-09,3133.74,1,18.79,0.006,3123.22,3137.17,3111.02,642960883,12654909764711,2563422971103981.0
2025-07-10,3183.23,1,49.49,0.0158,3144.14,3183.23,3133.81,596571574,14124821031009,2603739245288003.0
2025-07-11,3175.77,2,-7.46,-0.0023,3186.35,3216.69,3170.46,465292057,13342066116082,2598982928438423.0
2025-07-14,3202.03,1,26.26,0.0083,3175.59,3202.06,3170.72,444035800,11565586285784,2620057063000663.0
2025-07-15,3215.28,1,13.25,0.0040999999999999,3194.82,3216.01,3183.83,419651712,12238772420133,2631087507465974.0
2025-07-16,3186.38,2,-28.9,-0.009,3207.48,3209.2,3178.42,531498719,11328776416006,2608342484105158.0
2025-07-17,3192.29,1,5.91,0.0019,3201.42,3201.42,3152.42,424787619,15365406027980,2613900035981381.0
2025-07-18,3188.07,2,-4.22,-0.0013,3200.44,3204.75,3169.69,393449261,11939229667870,2610008447251791.0
2025-07-21,3210.81,1,22.74,0.0070999999999999,3191.11,3211.14,3188.87,343910781,10662279408140,2632829588919004.0
2025-07-22,3169.94,2,-40.87,-0.0127,3210.12,3220.27,3155.25,378485911,11604659217066,2599056209995773.0
2025-07-23,3183.77,1,13.83,0.0044,3189.65,3199.86,3141.93,664826146,12201364684336,2610788646131533.0
2025-07-24,3190.45,1,6.68,0.0021,3209.43,3237.97,3183.05,425499879,12993187344837,2615776094044113.0
2025-07-25,3196.05,1,5.6,0.0018,3184.37,3205.82,3184.37,389290718,9822238040874,2621558325609622.0
2025-07-28,3209.52,1,13.47,0.0042,3228.61,3228.61,3180.18,502719579,13872945078805,2634028944917939.0
2025-07-29,3230.57,1,21.05,0.0066,3192.17,3232.31,3169.03,373203172,12769212511711,2651327886580283.0
2025-07-30,3254.47,1,23.9,0.0074,3233.31,3269.4,3227.28,338073688,12968500091756,2671786675912336.0
2025-07-31,3245.44,2,-9.03,-0.0028,3275.78,3288.26,3227.46,540323825,16455571940540,2662743380814128.0
2025-08-01,3119.41,2,-126.03,-0.0388,3210.32,3210.32,3117.92,507776245,15281248640166,2563576815036689.0
2025-08-04,3147.75,1,28.34,0.0091,3114.27,3157.45,3105.63,293453733,9724691307255,2587242951270715.0
2025-08-05,3198.0,1,50.25,0.016,3187.15,3212.31,3174.23,273439606,10950201163619,2627767157184861.0
2025-08-06,3198.14,1,0.14,0.0,3182.06,3200.15,3176.61,327358365,11128301636396,2627785497278353.0
2025-08-07,3227.68,1,29.54,0.0092,3214.81,3227.68,3200.28,327047544,11201368337831,2652059094215135.0
2025-08-08,3210.01,2,-17.67,-0.0055,3220.58,3227.28,3198.31,341443229,11401116948366,2640295716796715.0
2025-08-11,3206.77,2,-3.24,-0.001,3220.72,3223.23,3199.9,304968427,10338941285390,2637340169715307.0
2025-08-12,3189.91,2,-16.86,-0.0053,3209.75,3242.17,3189.58,373217178,10165450116361,2623723769032037.0
2025-08-13,3224.37,1,34.46,0.0108,3225.4,3226.37,3192.17,320069786,10352059537799,2652083637181810.0
2025-08-14,3225.66,1,1.29,0.0004,3226.52,3239.55,3210.83,441467896,10002172706811,2652623803641114.0
