udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,product_code,type_match,temp_diff,power_proxy,tool_wear_group,tool_wear_alert,failure_type_count,risk_score
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,M,1,10.5,66382.79999999999,low,0,0,10.66
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,L,1,10.5,65190.399999999994,low,0,0,12.56
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,L,1,10.399999999999977,74001.2,low,0,0,13.96
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,L,1,10.400000000000034,56603.5,low,0,0,12.78
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,L,1,10.5,56320.0,low,0,0,13.7
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,M,1,10.5,59707.5,low,0,0,14.88
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,L,1,10.5,66059.2,low,0,0,16.18
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,L,1,10.5,61385.4,low,0,0,16.54
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,M,1,10.399999999999977,47676.200000000004,low,0,0,15.0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,M,1,10.5,48748.0,low,0,0,16.1
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,H,1,10.5,42589.799999999996,low,0,0,16.48
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,H,1,10.5,63038.899999999994,low,0,0,22.56
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,M,1,10.5,68422.90000000001,low,0,0,25.92
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,M,1,10.599999999999966,52260.0,low,0,0,22.92
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,L,1,10.599999999999966,39886.0,low,0,0,22.04
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,L,1,10.599999999999966,74632.8,low,0,0,28.6
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,M,1,10.599999999999966,61092.6,low,0,0,29.04
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,M,1,10.5,64296.0,low,0,0,30.02
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,H,1,10.399999999999977,71177.0,low,0,0,32.98
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,M,1,10.400000000000034,53040.0,mid,0,0,30.58
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,H,1,10.400000000000034,58712.50000000001,mid,0,0,33.82
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,L,1,10.5,64959.99999999999,mid,0,0,36.26
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,M,1,10.400000000000034,48536.7,mid,0,0,34.22
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,L,1,10.399999999999977,45180.6,mid,0,0,34.42
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,M,1,10.399999999999977,58225.299999999996,mid,0,0,37.54
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,L,1,10.5,43361.3,mid,0,0,35.96
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,L,1,10.399999999999977,58968.0,mid,0,0,39.88
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,H,1,10.299999999999955,44550.600000000006,mid,0,0,37.78
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,L,1,10.299999999999955,63603.8,mid,0,0,43.7
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,L,1,10.399999999999977,50959.3,mid,0,0,41.7
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,M,1,10.399999999999977,64539.8,mid,0,0,46.12
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,L,1,10.399999999999977,45849.0,mid,0,0,42.78
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,L,1,10.399999999999977,68537.7,mid,0,0,48.14
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,L,1,10.400000000000034,54112.5,mid,0,0,45.78
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,M,1,10.300000000000011,54097.3,mid,0,0,47.0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,M,1,10.399999999999977,70567.2,mid,0,0,51.0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,M,1,10.300000000000011,58022.700000000004,mid,0,0,49.8
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,L,1,10.300000000000011,56408.8,mid,0,0,51.5
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,H,1,10.300000000000011,69915.3,mid,0,0,54.6
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,L,1,10.300000000000011,70875.0,mid,0,0,56.96
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,L,1,10.300000000000011,61834.799999999996,mid,0,0,56.34
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,L,1,10.300000000000011,69494.4,mid,0,0,58.22
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,M,1,10.300000000000011,67168.8,mid,0,0,58.68
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,H,1,10.399999999999977,66542.0,mid,0,0,59.78
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,M,1,10.300000000000011,69920.0,mid,0,0,61.56
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,L,1,10.300000000000011,73109.90000000001,mid,0,0,63.08
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,M,1,10.300000000000011,47549.4,mid,0,0,59.22
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,L,1,10.300000000000011,65653.4,mid,0,0,64.52
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,H,1,10.399999999999977,76807.5,mid,0,0,66.86
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,M,1,10.300000000000011,62269.200000000004,mid,0,0,66.88
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,L,1,10.200000000000045,13160.599999999999,mid,0,1,110.16
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,L,1,10.200000000000045,75926.7,mid,0,0,71.02
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,H,1,10.199999999999989,65568.59999999999,mid,0,0,69.6
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,L,1,10.300000000000011,54931.5,high,0,0,69.88
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,L,1,10.300000000000011,50899.100000000006,high,0,0,69.68
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,L,1,10.300000000000011,61538.4,high,0,0,72.6
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,L,1,10.300000000000011,62624.799999999996,high,0,0,73.74
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,L,1,10.300000000000011,60973.899999999994,high,0,0,74.12
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,M,1,10.199999999999989,48999.5,high,0,0,72.74
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,L,1,10.300000000000011,74963.2,high,0,0,78.94
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,L,1,10.300000000000011,73271.8,high,0,0,79.38
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,M,1,10.199999999999989,60814.4,high,0,0,77.28
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,L,1,10.199999999999989,41884.1,high,0,0,75.42
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,M,1,10.100000000000023,46930.799999999996,high,0,0,76.8
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,L,1,10.100000000000023,58787.8,high,0,0,80.54
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,L,1,10.100000000000023,62869.4,high,0,0,82.64
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,M,1,10.0,48187.299999999996,high,0,0,80.14
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,H,1,10.099999999999966,64650.6,high,0,0,84.44
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,L,1,10.099999999999966,49474.799999999996,high,0,0,84.1
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,L,1,10.100000000000023,92637.0,high,0,2,141.56
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,M,1,10.100000000000023,43482.4,high,0,0,83.74
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,L,1,10.200000000000045,66066.0,high,0,0,89.54
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,L,1,10.200000000000045,60783.6,high,0,0,90.12
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,L,1,10.100000000000023,55720.0,high,1,0,89.02
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,L,1,10.100000000000023,51712.299999999996,high,1,0,89.28
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,L,1,10.099999999999966,64399.3,high,1,0,92.96
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,L,1,10.099999999999966,69981.9,high,1,0,94.0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,L,1,10.099999999999966,60091.49999999999,high,1,1,143.48
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,L,1,10.099999999999966,71997.0,low,0,0,12.32
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,L,1,10.099999999999966,53135.799999999996,low,0,0,10.4
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,H,1,10.0,72105.5,low,0,0,13.58
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,L,1,10.0,68875.0,low,0,0,15.1
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,L,1,10.0,59282.399999999994,low,0,0,14.56
