udi,product_id,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,product_code,type_match,temp_diff,power_proxy,type_L,type_M,tool_wear_group_mid,tool_wear_group_high
1,M14860,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,M,1,10.5,66382.79999999999,False,True,False,False
2,L47181,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,L,1,10.5,65190.399999999994,True,False,False,False
3,L47182,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,L,1,10.399999999999977,74001.2,True,False,False,False
4,L47183,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,L,1,10.400000000000034,56603.5,True,False,False,False
5,L47184,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,L,1,10.5,56320.0,True,False,False,False
6,M14865,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,M,1,10.5,59707.5,False,True,False,False
7,L47186,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,L,1,10.5,66059.2,True,False,False,False
8,L47187,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,L,1,10.5,61385.4,True,False,False,False
9,M14868,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,M,1,10.399999999999977,47676.200000000004,False,True,False,False
10,M14869,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,M,1,10.5,48748.0,False,True,False,False
11,H29424,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,H,1,10.5,42589.799999999996,False,False,False,False
12,H29425,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,H,1,10.5,63038.899999999994,False,False,False,False
13,M14872,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,M,1,10.5,68422.90000000001,False,True,False,False
14,M14873,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,M,1,10.599999999999966,52260.0,False,True,False,False
15,L47194,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,L,1,10.599999999999966,39886.0,True,False,False,False
